data,910.07,73.11
data,910.1,72.97
data,910.09,72.93
data,910.1,72.99
data,910.11,72.99
data,910.13,73
data,910.07,73
data,910.03,73.02
data,910.12,73.04
data,910.09,73.04
data,910.07,73.04
data,910.06,73.06
data,910.05,73
data,910.06,73.06
data,910.03,73.09
data,910.01,73.04
data,910.1,73.11
data,910.04,73.09
data,910.09,73.13
data,910.05,73.11
data,910.08,73.15
data,910.09,73.13
data,910.11,73.15
data,910.08,73.15
data,910.09,73.13
data,910.08,73.15
data,910.08,73.15
data,910.1,73.15
data,910.08,73.15
data,910.1,73.17
data,910.11,73.18
data,910.05,73.18
data,910.04,73.2
data,910.07,73.17
data,910.06,73.17
data,910.04,73.17
data,910.05,73.18
data,910.07,73.2
data,910.05,73.2
data,910.1,73.24
data,910.04,73.17
data,910.08,73.24
data,910.13,73.24
data,910.09,73.22
data,910.07,73.2
data,910.11,73.22
data,910.07,73.24
data,910.03,73.26
data,910.07,73.2
data,910.1,73.24
data,910.13,73.24
data,910.1,73.24
data,910.16,73.24
data,910.05,73.24
data,910.08,73.26
data,910.08,73.26
data,910.13,73.24
data,910.13,73.24
data,910.06,73.26
data,910.06,73.26
data,910.12,73.27
data,910.07,73.27
data,910.1,73.27
data,910.07,73.27
data,910.06,73.26
data,910.11,73.26
data,910.03,73.26
data,910.08,73.27
data,910.1,73.27
data,910.1,73.27
data,910.07,73.27
data,910.06,73.26
data,910.09,73.29
data,910.02,73.27
data,910.08,73.27
data,910.08,73.27
data,910.13,73.27
data,910.09,73.29
data,910.15,73.29
data,910.15,73.29
data,910.11,73.27
data,910.09,73.29
data,910.13,73.27
data,910.11,73.29
data,910.11,73.27
data,910.12,73.29
data,910.09,73.29
data,910.04,73.26
data,910.13,73.31
data,910.09,73.29
data,910.06,73.29
data,910.08,73.27
data,910.09,73.29
data,910.1,73.31
data,910.05,73.27
data,910.11,73.29
data,910.09,73.29
data,910.12,73.29
data,910.13,73.31
data,910.12,73.29
data,910.09,73.29
data,910.11,73.29
data,910.12,73.29
data,910.07,73.29
data,910.07,73.31
data,910.1,73.31
data,910.15,73.31
data,910.09,73.29
data,910.09,73.29
data,910.13,73.31
data,910.09,73.29
data,910.07,73.31
data,910.12,73.29
data,910.11,73.29
data,910.08,73.31
data,910.06,73.29
data,910.06,73.29
data,910.08,73.31
data,910.01,73.29
data,910.05,73.31
data,910.11,73.29
data,910.07,73.29
data,910.05,73.31
data,910.07,73.29
data,910.11,73.29
data,910.11,73.27
data,910.11,73.29
data,910.1,73.31
data,910.08,73.27
data,910.08,73.27
data,910.07,73.27
data,910.11,73.29
data,910.11,73.27
data,910.07,73.29
data,910.09,73.29
data,910.11,73.29
data,910.06,73.26
data,910.11,73.27
data,910.06,73.29
data,910.01,73.29
data,910.08,73.27
data,910.06,73.29
data,910.05,73.27
data,910.07,73.29
data,910.09,73.29
data,910.13,73.31
data,910.09,73.29
data,910.01,73.26
data,910.1,73.27
data,910.04,73.27
data,910.09,73.29
data,910.13,73.27
data,910.15,73.29
data,910.11,73.27
data,910.14,73.29
data,910.1,73.31
data,910.12,73.29
data,910.03,73.29
data,910.09,73.29
data,910.05,73.31
data,910.12,73.29
data,910.09,73.29
data,910.11,73.31
data,910.01,73.29
data,910.12,73.29
data,910.11,73.31
data,910.1,73.31
data,910.07,73.31
data,910.09,73.29
data,910.15,73.29
data,910.09,73.29
data,910.15,73.29
data,910.04,73.29
data,910.12,73.33
data,910.16,73.31
data,910.15,73.31
data,910.14,73.29
data,910.13,73.31
data,910.11,73.31
data,910.13,73.35
data,910.1,73.31
data,910.12,73.33
data,910.08,73.31
data,910.16,73.31
data,910.12,73.33
data,910.11,73.31
data,910.13,73.31
